-0.425	,
  -0.4	,
  -0.35	,
  -0.375	,
  -0.475	,
  -0.45	,
  -0.5	,
  -0.5	,
  -0.5	,
  -0.425	,
  -0.3	,
  -0.225	,
  -0.275	,
  -0.3	,
  -0.35	,
  -0.4	,
  -0.425	,
  -0.4	,
  -0.35	,
  -0.2	,
  -0.25	,
  -0.225	,
  -0.2	,
  -0.2	,
  -0.275	,
  -0.3	,
  -0.275	,
  -0.275	,
  -0.275	,
  -0.225	,
  -0.2	,
  -0.225	,
  -0.2	,
  -0.15	,
  -0.175	,
  -0.225	,
  -0.275	,
  -0.275	,
  -0.25	,
  -0.1	,
  -0.075	,
  -0.05	,
  0.025	,
  0	,
  -0.025	,
  -0.125	,
  -0.175	,
  -0.15	,
  -0.15	,
  -0.075	,
  -0.025	,
  0	,
  0.05	,
  0.1	,
  0	,
  -0.025	,
  0.025	,
  0.025	,
  0.05	,
  0.125	,
  0.2	,
  0.275	,
  0.3	,
  0.225	,
  0.2	,
  0.225	,
  0.2	,
  0.2	,
  0.35	,
  0.375	,
  0.45	,
  0.525	,
  0.525	,
  0.575	,
  0.525	,
  0.5	,
  0.5	,
  0.475	,
  0.625	,
  0.775	,
  0.8	,
  0.8	,
  0.875	,
  0.875	,
  0.775	,
  0.8	,
  0.75	,
  0.75	,
  0.8	,
  0.9	,
  0.95	,
  0.95	,
  1	,
  0.95	,
  0.9	,
  0.875	,
  0.825	,
  0.8	,
  0.825	,
  0.775	,
  0.825	,
  0.825	,
  0.85	,
  0.725	,
  0.675	,
  0.55	,
  0.45	,
  0.35	,
  0.375	,
  0.425	,
  0.425	,
  0.35	,
  0.35	,
  0.25	,
  0.2	,
  0.125	,
  0.025	,
  -0.025	,
  0	,
  0	,
  0.025	,
  0.05	,
  0	,
  0.05	,
  0.075	,
  0.15	,
  0.175	,
  0.225	,
  0.325	,
  0.425	,
  0.45	,
  0.6	,
  0.575	,
  0.45	,
  0.425	,
  0.35	,
  0.4	,
  0.4	,
  0.45	,
  0.475	,
  0.55	,
  0.575	,
  0.65	,
  0.575	,
  0.5	,
  0.475	,
  0.475	,
  0.475	,
  0.5	,
  0.55	,
  0.6	,
  0.625	,
  0.7	,
  0.675	,
  0.575	,
  0.575	,
  0.575	,
  0.575	,
  0.625	,
  0.65	,
  0.625	,
  0.7	,
  0.7	,
  0.7	,
  0.65	,
  0.525	,
  0.5	,
  0.5	,
  0.65	,
  0.7	,
  0.675	,
  0.75	,
  0.725	,
  0.65	,
  0.625	,
  0.625	,
  0.575	,
  0.6	,
  0.625	,
  0.7	,
  0.7	,
  0.75	,
  0.725	,
  0.7	,
  0.675	,
  0.7	,
  0.625	,
  0.625	,
  0.675	,
  0.725	,
  0.725	,
  0.7	,
  0.675	,
  0.6	,
  0.6	,
  0.55	,
  0.575	,
  0.6	,
  0.675	,
  0.675	,
  0.65	,
  0.675	,
  0.65	,
  0.55	,
  0.55	,
  0.55	,
  0.525	,
  0.575	,
  0.625	,
  0.65	,
  0.575	,
  0.6	,
  0.575	,
  0.525	,
  0.5	,
  0.525	,
  0.45	,
  0.5	,
  0.525	,
  0.55	,
  0.6	,
  0.675	,
  0.6	,
  0.55	,
  0.475	,
  0.5	,
  0.475	,
  0.5	,
  0.55	,
  0.55	,
  0.575	,
  0.575	,
  0.475	,
  0.4	,
  0.375	,
  0.35	,
  0.35	,
  0.375	,
  0.45	,
  0.425	,
  0.5	,
  0.625	,
  0.55	,
  0.525	,
  0.375	,
  0.4	,
  0.325	,
  0.375	,
  0.4	,
  0.45	,
  0.5	,
  0.575	,
  0.525	,
  0.45	,
  0.425	,
  0.45	,
  0.425	,
  0.475	,
  0.55	,
  0.675	,
  0.65	,
  0.675	,
  0.625	,
  0.6	,
  0.55	,
  0.525	,
  0.475	,
  0.55	,
  0.7	,
  0.675	,
  0.7	,
  0.7	,
  0.65	,
  0.625	,
  0.6	,
  0.525	,
  0.5	,
  0.6	,
  0.75	,
  0.8	,
  0.8	,
  0.85	,
  0.8	,
  0.6	,
  0.575	,
  0.575	,
  0.475	,
  0.475	,
  0.5	,
  0.475	,
  0.45	,
  0.45	,
  0.425	,
  0.275	,
  0.325	,
  0.3	,
  0.325	,
  0.375	,
  0.4	,
  0.4	,
  0.475	,
  0.375	,
  0.275	,
  0.25	,
  0.225	,
  0.175	,
  0.225	,
  0.225	,
  0.275	,
  0.3	,
  0.3	,
  0.3	,
  0.3	,
  0.25	,
  0.175	,
  0.1	,
  0.125	,
  0.175	,
  0.225	,
  0.275	,
  0.3	,
  0.275	,
  0.175	,
  0.125	,
  0.15	,
  0.1	,
  0.15	,
  0.25	,
  0.15	,
  0.2	,
  0.25	,
  0.2	,
  0.125	,
  0	,
  -0.05	,
  -0.125	,
  -0.15	,
  -0.125	,
  -0.075	,
  -0.025	,
  0.15	,
  0.325	,
  0.55	,
  0.8	,
  1	,
  1.275	,
  1.675	,
  2.125	,
  2.65	,
  3.225	,
  3.6	,
  3.675	,
  3.425	,
  3.15	,
  2.85	,
  2.425	,
  2.05	,
  1.675	,
  1.15	,
  0.5	,
  0.05	,
  -0.3	,
  -0.5	,
  -0.5	,
  -0.45	,
  -0.425	,
  -0.3	,
  -0.1	,
  0.05	,
  0.175	,
  0.2	,
  0.175	,
  0.075	,
  -0.025	,
  -0.1	,
  -0.125	,
  -0.05	,
  0	,
  0.025	,
  0.125	,
  0.125	,
  0.1	,
  0	,
  0.025	,
  -0.075	,
  -0.1	,
  -0.05	,
  -0.05	,
  0	,
  0.05	,
  0	,
  0.025	,
  0.025	,
  -0.025	,
  0	,
  -0.05	,
  0	,
  0.075	,
  0.1	,
  0.125	,
  0.2	,
  0.125	,
  0.05	,
  0	,
  -0.025	,
  -0.025	,
  0.025	,
  0.125	,
  0.125	,
  0.15	,
  0.125	,
  0.05	,
  0.1	,
  0.025	,
  0.05	,
  0.025	,
  0.075	,
  0.1	,
  0.175	,
  0.2	,
  0.25	,
  0.25	,
  0.225	,
  0.2	,
  0.125	,
  0.15	,
  0.15	,
  0.2	,
  0.225	,
  0.275	,
  0.3	,
  0.325	,
  0.325	,
  0.35	,
  0.35	,
  0.325	,
  0.4	,
  0.475	,
  0.525	,
  0.525	,
  0.6	,
  0.575	,
  0.575	,
  0.55	,
  0.5	,
  0.5	,
  0.575	,
  0.65	,
  0.75	,
  0.775	,
  0.8	,
  0.75	,
  0.8	,
  0.825	,
  0.775	,
  0.8	,
  0.875	,
  1	,
  1.025	,
  1.05	,
  1.025	,
  0.975	,
  0.925	,
  0.9	,
  0.9	,
  0.9	,
  0.9	,
  1	,
  1.025	,
  1.025	,
  0.975	,
  0.85	,
  0.75	,
  0.675	,
  0.65	,
  0.625	,
